===== adb shell ps -A -o USER,PID,PPID,NAME,ARGS =====
USER           PID  PPID NAME                        ARGS                       
root           395     2 [ssp_motor_wq]              [ssp_motor_wq]
root           396     2 [BBD_LHD_KILLER]            [BBD_LHD_KILLER]
root           397     2 [sec_input_irq_w]           [sec_input_irq_w]
root           398     2 [irq/533-slsi_ts]           [irq/533-slsi_ts]
root           399     2 [mfc_workqueue]             [mfc_workqueue]
root           400     2 [irq/534-wpd-det]           [irq/534-wpd-det]
root           401     2 [irq/536-als_rea]           [irq/536-als_rea]
root           402     2 [tsl2510_wq]                [tsl2510_wq]
root           403     2 [samsung_mobile_]           [samsung_mobile_]
root           404     2 [irq/537-cisd-ov]           [irq/537-cisd-ov]
root           405     2 [irq/538-cisd-ov]           [irq/538-cisd-ov]
root           406     2 [kworker/u16:7-kverityd]    [kworker/u16:7-kverityd]
root           407     2 [kworker/6:2-events]        [kworker/6:2-events]
root           408     2 [kworker/u16:8-events_unbound] [kworker/u16:8-events_unbound]
root           409     2 [cirrus_pwr_wq]             [cirrus_pwr_wq]
root           410     2 [kworker/5:6-pm]            [kworker/5:6-pm]
root           411     2 [irq/539-cs35l41]           [irq/539-cs35l41]
root           412     2 [irq/539-cs35l41]           [irq/539-cs35l41]
root           413     2 [irq/535-wpc-irq]           [irq/535-wpc-irq]
root           414     2 [kworker/6:1H-kblockd]      [kworker/6:1H-kblockd]
root           415     2 [jbd2/sda25-8]              [jbd2/sda25-8]
root           416     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           417     2 [kdmflush]                  [kdmflush]
root           418     2 [kdmflush]                  [kdmflush]
root           419     2 [kdmflush]                  [kdmflush]
root           420     2 [kdmflush]                  [kdmflush]
root           421     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           422     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           423     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           424     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           427     1 init                        init subcontext u:r:vendor_init:s0 15
root           429     1 ueventd                     ueventd
root           446     2 [loop0]                     [loop0]
root           449     2 [loop1]                     [loop1]
root           451     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           452     2 [loop2]                     [loop2]
root           453     2 [loop3]                     [loop3]
root           454     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           455     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           456     2 [loop4]                     [loop4]
root           457     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           458     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           461     2 [kworker/4:3-events]        [kworker/4:3-events]
root           462     2 [kworker/0:2-events]        [kworker/0:2-events]
root           463     2 [kworker/4:4-events]        [kworker/4:4-events]
logd           478     1 logd                        logd
lmkd           479     1 lmkd                        lmkd
system         480     1 servicemanager              servicemanager
system         481     1 hwservicemanager            hwservicemanager
root           482     2 [psimon]                    [psimon]
system         483     1 vndservicemanager           vndservicemanager /dev/vndbinder
root           492     1 watchdogd                   watchdogd 10 30
root           493     1 vold                        vold --blkid_context=u:r:blkid:s0 --blkid_untrusted_context=u:r:blkid_untrusted:s0 --fsck_context=u:r:fsck:s0 --fsck_untrusted_context=u:r:fsck_untrusted:s0
root           495     2 [jbd2/sda31-8]              [jbd2/sda31-8]
root           496     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           498     2 [kworker/3:1H-kblockd]      [kworker/3:1H-kblockd]
root           500     2 [jbd2/sda1-8]               [jbd2/sda1-8]
root           501     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           509     2 [f2fs_ckpt-259:5]           [f2fs_ckpt-259:5]
root           510     2 [f2fs_discard-25]           [f2fs_discard-25]
root           511     2 [f2fs_gc-259:5]             [f2fs_gc-259:5]
root           513     2 [jbd2/sda2-8]               [jbd2/sda2-8]
root           514     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           516     2 [jbd2/sda33-8]              [jbd2/sda33-8]
root           517     2 [ext4-rsv-conver]           [ext4-rsv-conver]
system         519     1 iod                         iod
system         523     1 tzdaemon                    tzdaemon
system         526     1 tzts_daemon                 tzts_daemon
root           529     2 [irq/380-1a51000]           [irq/380-1a51000]
system         534     1 android.system.suspend@1.0-service android.system.suspend@1.0-service
system         536     1 android.hardware.keymaster@4.0-service android.hardware.keymaster@4.0-service
system         537     1 android.hardware.keymaster@4.0_strongbox-service android.hardware.keymaster@4.0_strongbox-service
system         540     1 vendor.samsung.hardware.security.engmode@1.0-service vendor.samsung.hardware.security.engmode@1.0-service
system         541     1 vendor.samsung.hardware.security.hdcp.wifidisplay-service vendor.samsung.hardware.security.hdcp.wifidisplay-service
root           555     2 [f2fs_ckpt-259:1]           [f2fs_ckpt-259:1]
root           556     2 [f2fs_discard-25]           [f2fs_discard-25]
root           572     2 [f2fs_gc-259:18]            [f2fs_gc-259:18]
system         581     1 vendor.samsung.hardware.security.proca@2.0-service vendor.samsung.hardware.security.proca@2.0-service
system         582     1 vaultkeeperd                vaultkeeperd
system         583     1 vendor.samsung.hardware.security.vaultkeeper@2.0-service vendor.samsung.hardware.security.vaultkeeper@2.0-service
system         584     1 storkd                      storkd
tombstoned     586     1 tombstoned                  tombstoned
root           595     2 [loop5]                     [loop5]
root           596     2 [loop6]                     [loop6]
root           597     2 [loop7]                     [loop7]
root           598     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           599     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           600     2 [loop8]                     [loop8]
root           601     2 [loop9]                     [loop9]
root           602     2 [loop10]                    [loop10]
root           603     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           604     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           605     2 [loop11]                    [loop11]
root           606     2 [loop12]                    [loop12]
root           607     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           608     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           609     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           610     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           611     2 [loop13]                    [loop13]
root           612     2 [loop14]                    [loop14]
root           613     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           614     2 [loop15]                    [loop15]
root           615     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           616     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           617     2 [loop16]                    [loop16]
root           618     2 [loop17]                    [loop17]
root           619     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           620     2 [loop18]                    [loop18]
root           621     2 [kdmflush]                  [kdmflush]
root           622     2 [kdmflush]                  [kdmflush]
root           623     2 [loop19]                    [loop19]
root           624     2 [kverityd]                  [kverityd]
root           625     2 [kverityd]                  [kverityd]
root           626     2 [kdmflush]                  [kdmflush]
root           627     2 [kverityd]                  [kverityd]
root           628     2 [loop20]                    [loop20]
root           629     2 [kdmflush]                  [kdmflush]
root           630     2 [kverityd]                  [kverityd]
root           631     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           632     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           633     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           634     2 [loop21]                    [loop21]
root           635     2 [kdmflush]                  [kdmflush]
root           636     2 [loop22]                    [loop22]
root           637     2 [kverityd]                  [kverityd]
root           638     2 [loop23]                    [loop23]
root           639     2 [kdmflush]                  [kdmflush]
root           640     2 [kverityd]                  [kverityd]
root           641     2 [kdmflush]                  [kdmflush]
root           642     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           643     2 [kverityd]                  [kverityd]
root           644     2 [loop24]                    [loop24]
root           645     2 [kdmflush]                  [kdmflush]
root           646     2 [kverityd]                  [kverityd]
root           647     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           648     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           649     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           650     2 [loop25]                    [loop25]
root           651     2 [loop26]                    [loop26]
root           652     2 [kdmflush]                  [kdmflush]
root           653     2 [kverityd]                  [kverityd]
root           654     2 [loop27]                    [loop27]
root           655     2 [kdmflush]                  [kdmflush]
root           656     2 [kverityd]                  [kverityd]
root           657     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           658     2 [kdmflush]                  [kdmflush]
root           659     2 [kverityd]                  [kverityd]
root           660     2 [loop28]                    [loop28]
root           661     2 [kdmflush]                  [kdmflush]
root           662     2 [kverityd]                  [kverityd]
root           663     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           664     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           665     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           666     2 [loop29]                    [loop29]
root           667     2 [loop30]                    [loop30]
root           668     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           669     2 [kdmflush]                  [kdmflush]
root           670     2 [loop31]                    [loop31]
root           671     2 [kverityd]                  [kverityd]
root           672     2 [kdmflush]                  [kdmflush]
root           673     2 [loop32]                    [loop32]
root           674     2 [kverityd]                  [kverityd]
root           675     2 [kdmflush]                  [kdmflush]
root           676     2 [kdmflush]                  [kdmflush]
root           677     2 [kverityd]                  [kverityd]
root           678     2 [kverityd]                  [kverityd]
root           679     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           680     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           681     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           682     2 [ext4-rsv-conver]           [ext4-rsv-conver]
root           683     2 [loop33]                    [loop33]
root           684     2 [kdmflush]                  [kdmflush]
root           685     2 [kverityd]                  [kverityd]
root           686     2 [ext4-rsv-conver]           [ext4-rsv-conver]
system         723     1 cass                        cass
system         724     1 emservice                   emservice
statsd         743     1 statsd                      statsd
root           744     1 netd                        netd
root           745     1 zygote64                    zygote64
